Z	A	Isomer	Sym	5	8	10	15	20	25	30	40	50	60	80	100(keV); reaction rate including SEF in cm3/mole/s
32	73		Ge	4.62e+7	-	4.23e+7	4.01e+7	3.81e+7	3.62e+7	3.46e+7	3.18e+7	2.97e+7	2.80e+7	2.53e+7	2.33e+7	
32	74		Ge	6.31e+6	-	5.91e+6	5.67e+6	5.58e+6	5.47e+6	5.48e+6	5.49e+6	5.46e+6	5.42e+6	5.58e+6	5.87e+6	
32	76		Ge	3.45e+6	-	3.35e+6	3.23e+6	3.18e+6	3.13e+6	3.13e+6	3.06e+6	3.07e+6	3.09e+6	3.10e+6	3.27e+6	
33	75		As	6.69e+7	-	6.10e+7	5.76e+7	5.55e+7	5.38e+7	5.27e+7	5.10e+7	4.95e+7	4.96e+7	4.68e+7	4.09e+7	
34	74		Se	4.09e+7	-	3.98e+7	3.96e+7	3.95e+7	3.94e+7	3.95e+7	3.96e+7	3.99e+7	4.02e+7	4.12e+7	4.25e+7	
34	76		Se	2.16e+7	-	2.40e+7	2.42e+7	2.40e+7	2.37e+7	2.39e+7	2.42e+7	2.47e+7	2.54e+7	2.72e+7	2.92e+7	
34	77		Se	5.95e+7	-	5.85e+7	6.00e+7	6.07e+7	6.10e+7	6.11e+7	6.08e+7	6.01e+7	5.87e+7	5.51e+7	5.15e+7	
34	78		Se	9.52e+6	-	9.17e+6	8.97e+6	8.81e+6	8.78e+6	8.75e+6	8.75e+6	8.66e+6	8.86e+6	9.05e+6	9.34e+6	
34	79		Se	4.41e+7	-	4.17e+7	4.06e+7	3.97e+7	3.88e+7	3.80e+7	3.59e+7	3.40e+7	3.21e+7	2.89e+7	2.64e+7	
34	80		Se	6.90e+6	-	6.65e+6	6.39e+6	6.43e+6	6.25e+6	6.12e+6	6.06e+6	6.02e+6	5.98e+6	5.95e+6	5.85e+6	
34	82		Se	1.49e+6	-	1.51e+6	1.44e+6	1.43e+6	1.33e+6	1.31e+6	1.35e+6	1.32e+6	1.24e+6	1.19e+6	1.33e+6	
